Date,Town,Probenbegleitschein vollständig,Genkopien im Durchschnitt (Gq/ml),Genkopien N1/ml,Genkopien N2/ml,Anteil Genkopien Durchschnitt zu PMMoV x100.000,Volumenstrom (m3/d),Bevoelkerung,Faelle_gesamt,Faelle_neu,Faelle_7-Tage,Inzidenz_7-Tage,Valid test,Positive test,Newly positive test,Study phase,prevalence
2023-04-02,Mainz,,,,,,,220552.0,100799.0,0.0,23.0,10.4,2991.0,25.0,13.0,1.0,0.8358408559010365
2023-04-02,Trier,,,,,,,112195.0,44440.0,0.0,23.0,20.5,2010.0,18.0,9.0,1.0,0.8955223880597015
2023-04-03,Kaiserslautern,,,,,,,108216.0,59033.0,0.0,43.0,39.7,,,,,
2023-04-03,Koblenz, ja,335.5,262.0,409.0,197.0,33116.0,115268.0,51445.0,0.0,35.0,30.4,,,,,
2023-04-03,Ludwigshafen, ja,55.5,19.0,92.0,203.0,260540.0,174265.0,68816.0,0.0,50.0,28.7,,,,,
2023-04-03,Mainz,,,,,,,220552.0,100799.0,0.0,23.0,10.4,,,,,
2023-04-03,Trier,,,,,,,112195.0,44440.0,0.0,23.0,20.5,,,,,
2023-04-04,Kaiserslautern, ja,221.5,176.0,267.0,277.0,59485.0,108216.0,59042.0,9.0,43.0,39.7,,,,,
2023-04-04,Koblenz,,,,,,,115268.0,51445.0,0.0,20.0,17.4,,,,,
2023-04-04,Ludwigshafen,,,,,,,174265.0,68826.0,10.0,41.0,23.5,,,,,
2023-04-04,Mainz, nein,292.5,191.0,394.0,123.0,43597.0,220552.0,100810.0,11.0,26.0,11.8,,,,,
2023-04-04,Trier, nein,123.5,89.0,158.0,305.0,50091.0,112195.0,44440.0,0.0,14.0,12.5,,,,,
2023-04-05,Kaiserslautern,,,,,,,108216.0,59046.0,4.0,43.0,39.7,2087.0,20.0,12.0,1.0,0.9583133684714902
