Date of SARS-CoV-2 test;Town;Valid test;Positive test;Newly positive test;Study phase
2023-09-20;Trier;2047;18;12;2
2023-09-27;Kaiserslautern;1855;26;15;2
2023-09-27;Koblenz;2425;36;27;2
2023-09-27;Ludwigshafen;2070;35;23;2
2023-09-27;Mainz;2487;27;18;2
2023-09-27;Trier;2070;31;27;2
2023-10-04;Kaiserslautern;1843;33;26;2
2023-10-04;Koblenz;2366;28;21;2
2023-10-04;Ludwigshafen;2040;39;26;2
2023-10-04;Mainz;2427;37;28;2
2023-10-04;Trier;2077;35;24;2
2023-10-11;Kaiserslautern;1857;47;33;2
2023-10-11;Koblenz;2405;32;20;2
2023-10-11;Ludwigshafen;2075;42;28;2
2023-10-11;Mainz;2484;48;32;2
2023-10-11;Trier;2101;35;25;2
2023-10-18;Kaiserslautern;1831;32;20;2
2023-10-18;Koblenz;2374;32;25;2
2023-10-18;Ludwigshafen;2045;33;22;2
2023-10-18;Mainz;2446;40;23;2
2023-10-18;Trier;2043;39;28;2
